index:ID,name,code,status,:LABEL
200403,长白山,603099,normal,Company
200404,联发股份,002394,normal,Company
200405,宁波华翔,002048,normal,Company
200406,杰瑞股份,002353,normal,Company
200407,旺能环境,002034,normal,Company
200408,文山电力,600995,normal,Company
200409,全筑股份,603030,normal,Company
200410,富春环保,002479,normal,Company
200411,万润科技,002654,normal,Company
200412,双象股份,002395,normal,Company
200413,沧州大化,600230,normal,Company
200414,风神股份,600469,normal,Company
200415,国中水务,600187,normal,Company
200416,华懋科技,603306,normal,Company
200417,粤 水 电,002060,normal,Company
200418,茶花股份,603615,normal,Company
200419,光明乳业,600597,normal,Company
200420,长园集团,600525,normal,Company
200421,和而泰,002402,normal,Company
200422,福耀玻璃,600660,normal,Company
200423,鞍钢股份,000898,normal,Company
200424,柳钢股份,601003,normal,Company
200425,登海种业,002041,normal,Company
200426,通葡股份,600365,normal,Company
200427,申能股份,600642,normal,Company
200428,拓斯达,300607,normal,Company
200429,融钰集团,002622,normal,Company
200430,天润乳业,600419,normal,Company
200431,宝德股份,300023,normal,Company
200432,杭锅股份,002534,normal,Company
200433,新华锦,600735,normal,Company
200434,京投发展,600683,normal,Company
200435,襄阳轴承,000678,normal,Company
200436,新华百货,600785,normal,Company
200437,杭钢股份,600126,normal,Company
200438,巨化股份,600160,normal,Company
200439,江铃汽车,000550,normal,Company
200440,东湖高新,600133,normal,Company
200441,三聚环保,300072,normal,Company
200442,喜临门,603008,normal,Company
200443,力盛赛车,002858,normal,Company
200444,丽岛新材,603937,normal,Company
200445,珠海中富,000659,normal,Company
200446,隆基股份,601012,normal,Company
200447,数据港,603881,normal,Company
200448,杭州解百,600814,normal,Company
200449,伟星股份,002003,normal,Company
200450,岭南股份,002717,normal,Company
200451,依顿电子,603328,normal,Company
200452,通宇通讯,002792,normal,Company
200453,鹏起科技,600614,normal,Company
200454,牧高笛,603908,normal,Company
200455,闽东电力,000993,normal,Company
200456,长城影视,002071,normal,Company
200457,良信电器,002706,normal,Company
200458,银星能源,000862,normal,Company
200459,健友股份,603707,normal,Company
200460,桂发祥,002820,normal,Company
200461,九华旅游,603199,normal,Company
200462,中体产业,600158,normal,Company
200463,赣能股份,000899,normal,Company
200464,龙溪股份,600592,normal,Company
200465,西部黄金,601069,normal,Company
200466,上海环境,601200,normal,Company
200467,浙商中拓,000906,normal,Company
200468,银都股份,603277,normal,Company
200469,芭田股份,002170,normal,Company
200470,合锻智能,603011,normal,Company
200471,群兴玩具,002575,normal,Company
200472,洪汇新材,002802,normal,Company
200473,银邦股份,300337,normal,Company
200474,湖北能源,000883,normal,Company
200475,三江购物,601116,normal,Company
200476,浦东金桥,600639,normal,Company
200477,深 赛 格,000058,normal,Company
200478,桂林旅游,000978,normal,Company
200479,传化智联,002010,normal,Company
200480,清水源,300437,normal,Company
200481,汇纳科技,300609,normal,Company
200482,ST慧球,600556,ST,Company
200483,齐心集团,002301,normal,Company
200484,拉芳家化,603630,normal,Company
200485,新兴铸管,000778,normal,Company
200486,易德龙,603380,normal,Company
200487,广东甘化,000576,normal,Company
200488,一品红,300723,normal,Company
200489,广汇能源,600256,normal,Company
200490,广济药业,000952,normal,Company
200491,富春股份,300299,normal,Company
200492,新开普,300248,normal,Company
200493,金洲管道,002443,normal,Company
200494,宁波韵升,600366,normal,Company
200495,华通热力,002893,normal,Company
200496,文科园林,002775,normal,Company
200497,标准股份,600302,normal,Company
200498,郴电国际,600969,normal,Company
200499,联泰环保,603797,normal,Company
200500,华映科技,000536,normal,Company
200501,双一科技,300690,normal,Company
200502,大禹节水,300021,normal,Company
200503,海德股份,000567,normal,Company
200504,昭衍新药,603127,normal,Company
200505,天创时尚,603608,normal,Company
200506,广州发展,600098,normal,Company
200507,豪迈科技,002595,normal,Company
200508,双杰电气,300444,normal,Company
200509,庞大集团,601258,normal,Company
200510,启迪设计,300500,normal,Company
200511,西昌电力,600505,normal,Company
200512,江苏神通,002438,normal,Company
200513,*ST南风,000737,ST,Company
200514,埃斯顿,002747,normal,Company
200515,乐山电力,600644,normal,Company
200516,纵横通信,603602,normal,Company
200517,双塔食品,002481,normal,Company
200518,新农开发,600359,normal,Company
200519,民丰特纸,600235,normal,Company
200520,恒力股份,600346,normal,Company
200521,吉林高速,601518,normal,Company
200522,天目湖,603136,normal,Company
200523,美晨生态,300237,normal,Company
200524,京城股份,600860,normal,Company
200525,新疆浩源,002700,normal,Company
200526,节能风电,601016,normal,Company
200527,奥士康,002913,normal,Company
200528,深圳能源,000027,normal,Company
200529,开创国际,600097,normal,Company
200530,中国汽研,601965,normal,Company
